Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
continental-dunmore-k-lite-barn-door-32x84,Continental Dunmore K-Lite Barn Door 32" x 84","<p>Sophisticated Continental Dunmore barn door with K-Lite glass insert design for enhanced light transmission and modern aesthetics.</p><ul><li>K-Lite glass insert design</li><li>Continental collection premium styling</li><li>Enhanced light transmission</li><li>Premium hardware system</li><li>Professional Ottawa installation</li></ul>",Renin,Barn Doors,"barn door,continental,dunmore,k-lite,glass,modern,sliding door,Ottawa installation",TRUE,Width,32",,,,,BD-CON-DUN-32X84,15000,shopify,7,deny,manual,899,1149,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176732_hd.jpg,1,Continental Dunmore K-Lite Barn Door 32x84,FALSE,Continental Dunmore K-Lite Glass Barn Door 32" | Ottawa Installation,Premium Continental Dunmore barn door with K-Lite glass insert. Professional installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-CON-DUN-32X84,Barn Doors,Continental Collection,New,FALSE,Barn Doors,Continental,Glass,Ottawa,PG Closets,,kg,,650
continental-dunmore-k-lite-barn-door-42x84,Continental Dunmore K-Lite Barn Door 42" x 84","<p>Sophisticated Continental Dunmore barn door with K-Lite glass insert design for enhanced light transmission and modern aesthetics.</p><ul><li>K-Lite glass insert design</li><li>Continental collection premium styling</li><li>Enhanced light transmission</li><li>Premium hardware system</li><li>Professional Ottawa installation</li></ul>",Renin,Barn Doors,"barn door,continental,dunmore,k-lite,glass,modern,sliding door,Ottawa installation",TRUE,Width,42",,,,,BD-CON-DUN-42X84,16500,shopify,3,deny,manual,1099,1349,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_176732_hd.jpg,1,Continental Dunmore K-Lite Barn Door 42x84,FALSE,Continental Dunmore K-Lite Glass Barn Door 42" | Ottawa Installation,Premium Continental Dunmore barn door with K-Lite glass insert. Professional installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BD-CON-DUN-42X84,Barn Doors,Continental Collection,New,FALSE,Barn Doors,Continental,Glass,Ottawa,PG Closets,,kg,,750
euro-1-lite-bypass-door-48x80,Euro 1-Lite Bypass Door 48" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,48",,,,,BP-EUR-1L-48X80,12000,shopify,15,deny,manual,459,559,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 48x80,FALSE,Euro 1-Lite Bypass Closet Door 48" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa. Modern design and quality.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-48X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,350
euro-1-lite-bypass-door-36x80,Euro 1-Lite Bypass Door 36" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,36",,,,,BP-EUR-1L-36X80,10000,shopify,12,deny,manual,359,459,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 36x80,FALSE,Euro 1-Lite Bypass Closet Door 36" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-36X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,300
euro-1-lite-bypass-door-60x80,Euro 1-Lite Bypass Door 60" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,60",,,,,BP-EUR-1L-60X80,14000,shopify,8,deny,manual,609,709,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 60x80,FALSE,Euro 1-Lite Bypass Closet Door 60" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-60X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,400
euro-1-lite-bypass-door-72x80,Euro 1-Lite Bypass Door 72" x 80","<p>Premium Euro 1-Lite bypass door system with single glass panel design, perfect for modern closet applications.</p><ul><li>Single glass panel design</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Space-saving design</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,1-lite,closet door,glass panel,space saving,Ottawa installation",TRUE,Width,72",,,,,BP-EUR-1L-72X80,16000,shopify,5,deny,manual,709,809,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155725_hd.jpg,1,Euro 1-Lite Bypass Door 72x80,FALSE,Euro 1-Lite Bypass Closet Door 72" x 80" | Ottawa Installation | PG Closets,Premium Euro 1-Lite bypass door with single glass panel. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-1L-72X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,450
euro-3-lite-bypass-door-48x80,Euro 3-Lite Bypass Door 48" x 80","<p>Elegant Euro 3-Lite bypass door system with triple glass panels for enhanced light transmission and sophisticated appearance.</p><ul><li>Triple glass panel design</li><li>Enhanced light transmission</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,3-lite,closet door,triple glass,premium,Ottawa installation",TRUE,Width,48",,,,,BP-EUR-3L-48X80,12500,shopify,12,deny,manual,589,689,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155732_hd.jpg,1,Euro 3-Lite Bypass Door 48x80,FALSE,Euro 3-Lite Bypass Closet Door 48" x 80" | Triple Glass Panels | Ottawa,Premium Euro 3-Lite bypass door with triple glass panels. Professional closet door installation in Ottawa. Enhanced light transmission.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-3L-48X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,375
euro-3-lite-bypass-door-36x80,Euro 3-Lite Bypass Door 36" x 80","<p>Elegant Euro 3-Lite bypass door system with triple glass panels for enhanced light transmission and sophisticated appearance.</p><ul><li>Triple glass panel design</li><li>Enhanced light transmission</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,3-lite,closet door,triple glass,premium,Ottawa installation",TRUE,Width,36",,,,,BP-EUR-3L-36X80,10500,shopify,10,deny,manual,489,589,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155732_hd.jpg,1,Euro 3-Lite Bypass Door 36x80,FALSE,Euro 3-Lite Bypass Closet Door 36" x 80" | Triple Glass Panels | Ottawa,Premium Euro 3-Lite bypass door with triple glass panels. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-3L-36X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,325
euro-3-lite-bypass-door-60x80,Euro 3-Lite Bypass Door 60" x 80","<p>Elegant Euro 3-Lite bypass door system with triple glass panels for enhanced light transmission and sophisticated appearance.</p><ul><li>Triple glass panel design</li><li>Enhanced light transmission</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,3-lite,closet door,triple glass,premium,Ottawa installation",TRUE,Width,60",,,,,BP-EUR-3L-60X80,14500,shopify,6,deny,manual,739,839,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155732_hd.jpg,1,Euro 3-Lite Bypass Door 60x80,FALSE,Euro 3-Lite Bypass Closet Door 60" x 80" | Triple Glass Panels | Ottawa,Premium Euro 3-Lite bypass door with triple glass panels. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-3L-60X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,425
euro-3-lite-bypass-door-72x80,Euro 3-Lite Bypass Door 72" x 80","<p>Elegant Euro 3-Lite bypass door system with triple glass panels for enhanced light transmission and sophisticated appearance.</p><ul><li>Triple glass panel design</li><li>Enhanced light transmission</li><li>Smooth bypass operation</li><li>Premium hardware included</li><li>Professional Ottawa installation</li></ul>",Renin,Bypass Doors,"bypass door,euro,3-lite,closet door,triple glass,premium,Ottawa installation",TRUE,Width,72",,,,,BP-EUR-3L-72X80,16500,shopify,4,deny,manual,839,939,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_155732_hd.jpg,1,Euro 3-Lite Bypass Door 72x80,FALSE,Euro 3-Lite Bypass Closet Door 72" x 80" | Triple Glass Panels | Ottawa,Premium Euro 3-Lite bypass door with triple glass panels. Professional closet door installation in Ottawa.,Home & Garden > Home Improvement > Doors,Unisex,Adult,BP-EUR-3L-72X80,Bypass Doors,Euro Collection,New,FALSE,Bypass Doors,Euro,Glass,Ottawa,PG Closets,,kg,,475
twilight-led-mirror-24x32,Twilight LED Mirror 24" x 32","<p>Modern Twilight LED mirror with integrated lighting system, perfect for bathroom vanities and contemporary spaces.</p><ul><li>Integrated LED lighting</li><li>Energy-efficient design</li><li>Twilight collection styling</li><li>Touch-sensitive controls</li><li>Professional Ottawa installation</li></ul>",Renin,LED Mirrors,"led mirror,twilight,bathroom mirror,modern,integrated lighting,energy efficient,Ottawa installation",TRUE,Size,24" x 32",,,,,LED-TWI-24X32,8000,shopify,10,deny,manual,349,429,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_205717_hd.jpg,1,Twilight LED Mirror 24x32,FALSE,Twilight LED Mirror 24" x 32" | Modern Bathroom Mirror | Ottawa Installation,Modern Twilight LED mirror with integrated lighting. Professional bathroom mirror installation in Ottawa. Energy-efficient design.,Home & Garden > Home Improvement > Bathroom Fixtures,Unisex,Adult,LED-TWI-24X32,LED Mirrors,Twilight Collection,New,FALSE,LED Mirrors,Twilight,Modern,Ottawa,PG Closets,,kg,,250
twilight-led-mirror-18x24,Twilight LED Mirror 18" x 24","<p>Modern Twilight LED mirror with integrated lighting system, perfect for bathroom vanities and contemporary spaces.</p><ul><li>Integrated LED lighting</li><li>Energy-efficient design</li><li>Twilight collection styling</li><li>Touch-sensitive controls</li><li>Professional Ottawa installation</li></ul>",Renin,LED Mirrors,"led mirror,twilight,bathroom mirror,modern,integrated lighting,energy efficient,Ottawa installation",TRUE,Size,18" x 24",,,,,LED-TWI-18X24,6000,shopify,8,deny,manual,274,354,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_205717_hd.jpg,1,Twilight LED Mirror 18x24,FALSE,Twilight LED Mirror 18" x 24" | Compact Bathroom Mirror | Ottawa Installation,Compact Twilight LED mirror with integrated lighting. Professional bathroom mirror installation in Ottawa.,Home & Garden > Home Improvement > Bathroom Fixtures,Unisex,Adult,LED-TWI-18X24,LED Mirrors,Twilight Collection,New,FALSE,LED Mirrors,Twilight,Compact,Ottawa,PG Closets,,kg,,200
twilight-led-mirror-30x36,Twilight LED Mirror 30" x 36","<p>Modern Twilight LED mirror with integrated lighting system, perfect for bathroom vanities and contemporary spaces.</p><ul><li>Integrated LED lighting</li><li>Energy-efficient design</li><li>Twilight collection styling</li><li>Touch-sensitive controls</li><li>Professional Ottawa installation</li></ul>",Renin,LED Mirrors,"led mirror,twilight,bathroom mirror,modern,integrated lighting,energy efficient,Ottawa installation",TRUE,Size,30" x 36",,,,,LED-TWI-30X36,10000,shopify,6,deny,manual,449,529,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_205717_hd.jpg,1,Twilight LED Mirror 30x36,FALSE,Twilight LED Mirror 30" x 36" | Large Bathroom Mirror | Ottawa Installation,Large Twilight LED mirror with integrated lighting. Professional bathroom mirror installation in Ottawa.,Home & Garden > Home Improvement > Bathroom Fixtures,Unisex,Adult,LED-TWI-30X36,LED Mirrors,Twilight Collection,New,FALSE,LED Mirrors,Twilight,Large,Ottawa,PG Closets,,kg,,300
twilight-led-mirror-36x48,Twilight LED Mirror 36" x 48","<p>Modern Twilight LED mirror with integrated lighting system, perfect for bathroom vanities and contemporary spaces.</p><ul><li>Integrated LED lighting</li><li>Energy-efficient design</li><li>Twilight collection styling</li><li>Touch-sensitive controls</li><li>Professional Ottawa installation</li></ul>",Renin,LED Mirrors,"led mirror,twilight,bathroom mirror,modern,integrated lighting,energy efficient,Ottawa installation",TRUE,Size,36" x 48",,,,,LED-TWI-36X48,12000,shopify,4,deny,manual,549,629,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_205717_hd.jpg,1,Twilight LED Mirror 36x48,FALSE,Twilight LED Mirror 36" x 48" | Premium Bathroom Mirror | Ottawa Installation,Premium Twilight LED mirror with integrated lighting. Professional bathroom mirror installation in Ottawa.,Home & Garden > Home Improvement > Bathroom Fixtures,Unisex,Adult,LED-TWI-36X48,LED Mirrors,Twilight Collection,New,FALSE,LED Mirrors,Twilight,Premium,Ottawa,PG Closets,,kg,,350
harmony-medicine-cabinet-24x30,Harmony Medicine Cabinet 24" x 30","<p>Functional Harmony medicine cabinet with mirror door and adjustable shelving for organized bathroom storage.</p><ul><li>Mirror door design</li><li>Adjustable interior shelving</li><li>Harmony collection quality</li><li>Recessed installation</li><li>Professional Ottawa installation</li></ul>",Renin,Medicine Cabinets,"medicine cabinet,harmony,bathroom storage,mirror door,recessed,adjustable shelving,Ottawa installation",TRUE,Size,24" x 30",,,,,MC-HAR-24X30,5000,shopify,8,deny,manual,279,339,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_199063_hd.jpg,1,Harmony Medicine Cabinet 24x30,FALSE,Harmony Medicine Cabinet 24" x 30" | Recessed Bathroom Storage | Ottawa,Harmony medicine cabinet with mirror door and adjustable shelving. Professional recessed installation in Ottawa bathrooms.,Home & Garden > Home Improvement > Bathroom Fixtures,Unisex,Adult,MC-HAR-24X30,Medicine Cabinets,Harmony Collection,New,FALSE,Medicine Cabinets,Harmony,Storage,Ottawa,PG Closets,,kg,,150
harmony-medicine-cabinet-18x24,Harmony Medicine Cabinet 18" x 24","<p>Functional Harmony medicine cabinet with mirror door and adjustable shelving for organized bathroom storage.</p><ul><li>Mirror door design</li><li>Adjustable interior shelving</li><li>Harmony collection quality</li><li>Recessed installation</li><li>Professional Ottawa installation</li></ul>",Renin,Medicine Cabinets,"medicine cabinet,harmony,bathroom storage,mirror door,recessed,adjustable shelving,Ottawa installation",TRUE,Size,18" x 24",,,,,MC-HAR-18X24,4000,shopify,6,deny,manual,229,289,TRUE,TRUE,,https://pgclosets.com/images/arcat/renin_199063_hd.jpg,1,Harmony Medicine Cabinet 18x24,FALSE,Harmony Medicine Cabinet 18" x 24" | Compact Bathroom Storage | Ottawa,Compact Harmony medicine cabinet with mirror door. Professional recessed installation in Ottawa bathrooms.,Home & Garden > Home Improvement > Bathroom Fixtures,Unisex,Adult,MC-HAR-18X24,Medicine Cabinets,Harmony Collection,New,FALSE,Medicine Cabinets,Harmony,Compact,Ottawa,PG Closets,,kg,,125
